,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
1,Andhra Pradesh,-0.455381462,-1.278555094,0.343714261,-0.926392555,-2.600992839,0.699225505,0.135216953,-0.067530275,-0.576757924,0.462627026,-0.923044262,-7.883472886,6.32346339,0.408678103,0.051075112,-0.359332399,0.429308841,-8.003203061,56.30550808,-67.27045067,0.419778002,0.012317572,-0.356206268,0.388328738,0.97301927,-28.13830226,30.67579766,0.48234107,0.076906357,-0.249631836,0.393397252,-172.342477,559.4097858,-881.5793535,0.316851665,0.004852125,-0.265675768,0.248145698,0.103446267,-5.664150835,5.290413464,0.475201845
2,Arunachal Pradesh,0.192120709,0.038635199,0.339208373,-1,-0.201098565,-1.765600256,0.012108981,0.012358795,-0.066630915,0.084468026,-1,5.391376397,-6.834649019,0.38950555,0.046614682,-0.011280465,0.103169126,16.09717043,-3.895415837,35.62677954,0.054490414,0.042698779,-0.053441494,0.140357581,0.912673423,-1.142295701,3.000100662,0.195761857,-0.09586773,-0.390618228,0.171755782,-1,-4.074553837,1.7915912,0.240161453,0.048402359,-0.353808149,0.465798418,1.329820361,-9.720627,12.7974799,0.414732593
3,Assam,-0.183251435,-1.220070846,0.747144428,-1.56307976,-10.40683825,6.372917801,0.348133199,0.183041419,-0.371838507,0.713239881,-2.487072871,5.052350819,-9.69113748,0.253279516,0.075335558,-0.491739979,0.603532688,0.726962615,-4.745124232,5.823886011,0.397578204,-0.155836219,-0.72225761,0.378941799,-0.845509435,-3.918701489,2.055997432,0.27346115,-0.08815271,-0.583915287,0.386153996,-0.67034432,-4.440297927,2.93645127,0.357214934,-0.027808174,-0.542049361,0.462695853,-0.349327265,-6.809243165,5.812401601,0.453077699
4,Bihar,0.25352113,-0.466675812,0.924744768,-2.009190737,3.698471677,-7.328732808,0.236125126,-0.191620112,-0.9165667,0.540539966,-0.882906246,-4.22316038,2.490584665,0.297679112,-0.00850867,-0.577913343,0.630776536,-0.093092005,-6.322858295,6.90122611,0.492431887,-0.053986197,-0.593220459,0.547728101,-0.59483098,-6.536224547,6.034980433,0.416750757,-0.036209817,-0.520707776,0.3905335,-0.510931358,-7.347342714,5.510544681,0.436932392,0.003677883,-0.373089604,0.354549855,0.069835645,-7.084224835,6.732192108,0.473259334
5,Chhattisgarh,-0.134641194,-0.706935518,0.401753161,-1,-5.250514323,2.983879961,0.321897074,-0.04486247,-0.716523753,0.552299778,-1,-15.97156264,12.31095336,0.440968718,0.180299351,-0.368484628,0.75819485,7.467800354,-15.26222703,31.4035948,0.255297679,-0.053061666,-0.693654429,0.531733645,-0.352486199,-4.607914398,3.532282094,0.426841574,-0.193906954,-0.734434205,0.32517722,-1.143570486,-4.331341728,1.917739739,0.245206862,0.015982919,-0.448713911,0.472483938,0.411604866,-11.55563834,12.16778301,0.481331988
6,Delhi,-0.619437646,-1.784599502,0.345169049,-0.954215191,-2.749093416,0.531717037,0.130705394,-0.017089452,-0.754715987,0.651325089,-0.183934911,-8.123058651,7.010255504,0.489042676,-0.023681976,-0.556151583,0.500335611,-0.300070245,-7.04690106,6.339666485,0.47289504,-0.026700018,-0.479395043,0.45163272,-0.381695618,-6.853290786,6.45640876,0.464821223,-0.055429322,-0.431840702,0.332881078,-1.032582446,-8.044679454,6.201179173,0.401384083,0.001208048,-0.291898884,0.309989065,-0.097104229,23.46316276,-24.91727203,0.479674797
7,Goa,-0.084500041,-0.614672107,0.38899808,-1.640999509,-11.93699567,7.554382811,0.376387487,0.100225364,-0.163699337,0.357930994,6.500527689,-10.61739294,23.21508497,0.229061554,-0.297267893,-0.564265989,-0.042321118,-1.565937696,-2.972421178,-0.222937744,0.013118063,0.161248761,-0.191932609,0.529748198,4.670421439,-5.559150782,15.34366733,0.179616549,-0.115133892,-0.458951716,0.219375048,-0.720981597,-2.874008124,1.373751632,0.239152371,-0.071502246,-0.367846026,0.208660339,-0.637573661,-3.280021951,1.860589609,0.305751766
8,Gujarat,-0.012897067,-0.745881096,0.691163238,-0.08514636,-4.924302538,4.563055568,0.478304743,-0.128641828,-0.581104099,0.327205791,-0.91237252,-4.121392081,2.320657101,0.285570131,0.000401353,-0.342804447,0.336062096,0.047361739,-40.45271565,39.65708298,0.478304743,0.044105406,-0.26146259,0.370388053,-2.179310353,12.91923541,-18.30139622,0.397578204,0.049537076,-0.236389496,0.305696946,-1.553860625,7.414978068,-9.588988481,0.345105954,0.034801371,-0.167418326,0.226632087,-1.298891085,6.248551875,-8.458586279,0.36629667
9,Haryana,-0.402788887,-1.421981834,0.496696062,-1.020147601,-3.601468176,1.257987281,0.19778002,0.001007804,-0.709099569,0.666836736,0.282160343,-198.5304472,186.6978929,0.493440969,0.11499851,-0.475073577,0.701846452,-1.464744566,6.051047437,-8.939470399,0.346115035,0.134002531,-0.498903271,0.724490898,-4.142025145,15.42112586,-22.39405104,0.338042381,0.007831974,-0.541984742,0.520076051,0.297937966,-20.61776991,19.78433621,0.472250252,0.025669207,-0.378314652,0.424791868,1.186631894,-17.48866746,19.63720854,0.455095863
10,Himachal Pradesh,-0.709772962,-1.457297473,0.011114657,-1.162129696,-2.386070984,0.018198316,0.028254289,0.136986621,-0.49818134,0.73708327,-3.9625526,14.41067567,-21.32128827,0.335015136,-0.102803379,-0.607202575,0.42261741,-0.85134265,-5.028409108,3.499809321,0.36024218,-0.017471442,-0.563308757,0.47455814,-0.234491741,-7.560409385,6.369249135,0.46518668,-0.10744977,-0.557479737,0.302471917,-1.188311185,-6.165293877,3.345105002,0.318869828,0.02515786,-0.356386546,0.39330457,2.684218579,-38.02467236,41.96364197,0.442986882
