,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
1,Andhra Pradesh,0.001157527,0.000987983,0.001320975,1.101533137,0.940190475,1.257074935,0.001164144,-0.001484653,-0.001856101,-0.001088678,-0.423327651,-0.529240714,-0.310421091,0.001176471,-0.001284467,-0.001637213,-0.000898052,-0.42598755,-0.542974112,-0.297834856,0.001338688,-0.00039815,-0.000806454,-2.71E-05,-0.151228317,-0.306313291,-0.010290528,0.020761246,0.012048534,0.011633954,0.012414678,4.051319407,3.911917108,4.1744356,0.001153403,0.074089894,0.068659642,0.080102179,2.01087021,1.863488017,2.174049362,0.001145475
2,Arunachal Pradesh,-8.57E-05,-0.000207533,3.62E-05,-0.217519265,-0.526973519,0.091848822,0.076690212,-0.000160513,-0.000242612,-8.49E-05,-0.318005286,-0.48065795,-0.168162699,0.00116144,-0.000173784,-0.000237494,-0.000107834,-0.353935617,-0.483687993,-0.219619087,0.00116144,-9.87E-05,-0.000168798,-3.29E-05,-0.216324621,-0.370115181,-0.07214725,0.004645761,0.004573443,0.004509714,0.004636122,9.242180473,9.11339423,9.368844013,0.00116144,-0.006391678,-0.008191675,-0.004344274,-0.701645405,-0.899239745,-0.476891917,0.001098901
3,Assam,-4.46E-05,-8.37E-05,-6.14E-06,-0.285844083,-0.536427469,-0.039336263,0.011099899,-8.91E-05,-0.000125794,-5.52E-05,-0.532104004,-0.751059366,-0.329387835,0.001153403,9.07E-05,6.03E-05,0.000120127,0.724750487,0.481865194,0.960235737,0.001153403,0.000204883,0.000173105,0.000240035,0.950233006,0.802847164,1.113263885,0.001153403,0.001740333,0.001653999,0.001819713,2.996935133,2.848264119,3.133631941,0.001182033,0.004468827,0.003272006,0.005894117,0.62538387,0.457896327,0.824844049,0.001180638
4,Bihar,3.04E-07,-1.28E-05,1.32E-05,0.008134635,-0.341517882,0.352241076,0.49445005,0.000135851,0.000124696,0.000146429,2.212507543,2.030831942,2.384790899,0.001153403,0.000315906,0.000278873,0.00035319,1.283871709,1.133367032,1.435396593,0.001150748,0.000453215,0.000376896,0.000526609,0.810299675,0.673848872,0.941520076,0.00109529,0.001047449,0.000895195,0.00119803,0.834528019,0.713223987,0.954499571,0.001123596,0.004085465,0.003481017,0.004794225,0.862803661,0.735151149,1.012485724,0.001098901
5,Chhattisgarh,-1.53E-05,-2.37E-05,-7.36E-06,-0.476235337,-0.735635732,-0.228462922,0.002018163,-3.97E-06,-9.34E-06,1.42E-06,-0.200044074,-0.47063034,0.071531328,0.073817762,8.39E-05,7.97E-05,8.81E-05,4.939392477,4.688660378,5.182295714,0.001153403,0.001136032,0.001108976,0.001162891,13.43624565,13.11624644,13.75392129,0.001009082,0.000495501,0.000267563,0.000713125,0.518614103,0.280043902,0.746388588,0.001009082,0.009117841,0.008594925,0.009732548,4.936576823,4.653459866,5.269391575,0.001176471
6,Delhi,0.004231554,0.002274803,0.006004191,0.473727165,0.254666747,0.67217589,0.001160093,-0.00296366,-0.006041709,2.55E-05,-0.154309453,-0.314574792,0.001325758,0.026713124,0.078579961,0.074918776,0.082473229,3.272960082,3.12046685,3.435119883,0.00116144,0.219955171,0.201519131,0.237929718,2.417130249,2.214533012,2.614656056,0.001153403,-0.101067136,-0.170755602,-0.034232181,-0.230328238,-0.389145655,-0.078013866,0.005747126,-0.156807851,-0.237383581,-0.061182635,-0.534305282,-0.808858104,-0.208473012,0.001123596
7,Goa,-0.000258828,-0.000369907,-0.000152728,-0.446840789,-0.638607426,-0.263669484,0.001180638,-0.000167417,-0.000243962,-9.39E-05,-0.333958146,-0.486648081,-0.18733634,0.00116144,-0.000155494,-0.000218948,-9.11E-05,-0.347121502,-0.488776855,-0.20343366,0.00116144,9.37E-05,3.53E-05,0.000152779,0.235777742,0.088898981,0.384463572,0.001153403,0.023783715,0.023710647,0.023851703,44.09379083,43.95832687,44.21983679,0.001153403,0.080943084,0.071370835,0.092327727,1.283814387,1.131991769,1.464382849,0.001145475
8,Gujarat,0.006131972,0.005757295,0.006499664,2.497673418,2.345059864,2.647441766,0.00101626,0.019394836,0.017082525,0.021823446,1.262962116,1.112387937,1.421109471,0.00132626,-0.005431555,-0.010775568,-0.000701047,-0.124173273,-0.246345192,-0.016026952,0.012359551,-0.006546925,-0.011743687,-0.001900372,-0.130168238,-0.233492072,-0.037783852,0.002197802,-0.028242533,-0.033094131,-0.023421332,-0.464070001,-0.543789524,-0.384849968,0.001076426,0.004837808,-0.004933316,0.015229451,0.182893675,-0.186504351,0.575750422,0.172594142
10,Himachal Pradesh,-0.00159213,-0.002092854,-0.001078139,-0.854026368,-1.122617345,-0.578318916,0.001009082,0.000406015,1.32E-05,0.000802336,2.226238464,0.072261681,4.399328109,0.022199798,0.00144351,0.001139166,0.001728994,3.139056277,2.477230678,3.759868403,0.001009082,8.11E-05,-0.000280643,0.000427122,0.054577512,-0.188777204,0.287307107,0.338174274,-0.000366154,-0.00071032,-5.91E-05,-0.202034357,-0.391936204,-0.032590374,0.006920415,0.000518422,0.000240085,0.000792908,0.272061969,0.125993881,0.41610875,0.001153403
11,India,0.00126245,0.00095184,0.001537914,0.707409198,0.533360103,0.861763958,0.001164144,0.002694785,0.002162117,0.003188186,0.544516357,0.436883857,0.644214411,0.001033058,0.002998369,0.001987868,0.00393584,0.299374535,0.198480237,0.392976962,0.001010101,0.007792126,0.006466253,0.009072813,0.523206658,0.434180211,0.609199161,0.001010101,0.006145316,0.003469304,0.008527129,0.235900494,0.133176296,0.327331241,0.001119821,0.012996972,0.010177113,0.015595401,0.308444034,0.241523168,0.370109929,0.001060445
