,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
1,Andhra Pradesh,7.828003291,-13.48061092,28.25630394,-0.100838563,0.173654173,-0.363991299,0.23,38.17005564,24.15110899,51.60591121,-0.355394717,-0.224866755,-0.48049362,0.001054852,28.70792778,17.90649676,39.2628038,-0.320285949,-0.199777544,-0.438043612,0.001043841,28.4048706,18.26206061,38.27141906,-0.365204281,-0.234797152,-0.492059488,0.001043841,25.81121274,16.22850638,35.14799914,-0.398034281,-0.250259526,-0.542016708,0.001054852,-2.796045821,-10.93503269,4.807229027,0.068944601,0.269634873,-0.118536142,0.239910314
2,Arunachal Pradesh,33.78454017,18.36117555,48.37606065,-0.389557353,-0.211716096,-0.557806916,0.001022495,40.90048235,28.73568216,53.77493778,-0.511631876,-0.359460088,-0.672680876,0.001009082,25.45411645,12.78635238,37.54219437,-0.393424988,-0.197628959,-0.580261248,0.001009082,23.83332458,12.51735081,35.26152928,-0.390518473,-0.205101756,-0.577774138,0.001009082,7.73398353,-1.593287078,16.16436238,-0.153563016,0.031635698,-0.320953391,0.046680498,7.73398353,33.78454017,18.36117555,48.37606065,-0.389557353,-0.211716096,-0.557806916
3,Assam,46.82816921,27.06114552,65.01554346,-0.427680699,-0.247148881,-0.593785612,0.001022495,44.1930819,30.19496544,59.15698648,-0.468240987,-0.319926102,-0.626788731,0.001009082,32.02188685,17.66472945,47.04663479,-0.406774913,-0.224395546,-0.597634702,0.001009082,33.68803187,20.94801357,45.46397071,-0.466859107,-0.290304015,-0.63005369,0.001009082,5.676387401,-5.225976796,15.93625228,-0.108273873,0.099682546,-0.303974982,0.143149284,5.676387401,46.82816921,27.06114552,65.01554346,-0.427680699,-0.247148881,-0.593785612
4,Bihar,-4.865517752,-33.19399784,20.50330368,0.081866113,0.55851478,-0.344984,0.358,43.17205153,26.48555026,58.51897162,-0.406173421,-0.249182658,-0.550561071,0.001022495,31.85872169,19.79586813,43.85198918,-0.3693231,-0.229484141,-0.508355381,0.001022495,30.57925754,18.59540023,42.50095276,-0.41637807,-0.253201597,-0.578708121,0.001022495,34.02371366,23.44365753,44.88487693,-0.562500513,-0.387584657,-0.742063802,0.001037344,-8.90420756,-18.92604752,0.199072742,0.316905868,0.673588917,-0.007085113,0.031120332
5,Chhattisgarh,16.1185877,-13.47372102,43.17106323,-0.186235281,0.155676308,-0.49880146,0.123,46.81722844,31.74032072,62.36025076,-0.421058519,-0.285461846,-0.560847272,0.00104712,29.9368015,17.84423309,42.45539477,-0.35577542,-0.212064723,-0.504549088,0.001022495,21.33599593,9.140277636,32.03781147,-0.304982631,-0.130653658,-0.457957345,0.001037344,20.12794718,10.06206296,29.98768999,-0.334050593,-0.166993587,-0.497686403,0.001043841,-1.692472804,-9.764675124,6.098160285,0.04153338,0.239625689,-0.149649204,0.349046016
6,Delhi,11.67496864,-13.45270224,34.62378109,-0.118096538,0.136078958,-0.350232092,0.17,41.00422682,25.8189202,55.05314111,-0.321698796,-0.202562423,-0.431919599,0.001054852,29.51723801,18.27071851,40.57976547,-0.272740196,-0.168822007,-0.374958294,0.001043841,29.06605994,18.28244183,38.99433349,-0.301234897,-0.189475612,-0.404129561,0.001043841,24.79758534,14.7713639,34.87791307,-0.294692637,-0.175541776,-0.414486492,0.001054852,9.632250164,0.763426203,17.98696604,-0.155248887,-0.012304609,-0.28990697,0.01793722
7,Goa,65.03108337,45.25002115,84.17279678,-0.518109929,-0.36051199,-0.670614105,0.001022495,39.93319917,23.79072389,56.98401685,-0.458927944,-0.273412304,-0.65488261,0.002018163,25.15948848,9.32311796,40.0419172,-0.370270284,-0.13720762,-0.589293859,0.002018163,14.15124294,1.133164771,26.94291251,-0.246431354,-0.01973306,-0.469186943,0.01715439,-0.127484421,-10.90090768,9.580283122,0.002720715,0.232642263,-0.204458088,0.497925311,-0.127484421,65.03108337,45.25002115,84.17279678,-0.518109929,-0.36051199,-0.670614105
8,Gujarat,14.6832793,-14.83392539,42.2672905,-0.160428701,0.162074652,-0.461810089,0.163,47.86834176,30.93776886,64.53853937,-0.389276702,-0.25159327,-0.5248427,0.001054852,29.84170331,16.98522621,42.261049,-0.300479268,-0.17102604,-0.425530974,0.001037344,34.58233516,22.79751504,45.87234797,-0.390166542,-0.257207258,-0.517543286,0.001043841,33.16980208,21.82719195,43.97755629,-0.450244696,-0.296280858,-0.596948436,0.001054852,3.484656107,-6.70276382,13.04602106,-0.081268471,0.156320552,-0.304256761,0.226457399
9,Haryana,12.69210515,-12.55032145,36.36195221,-0.141509872,0.139929063,-0.405415424,0.159,42.38648968,28.33398139,56.41137456,-0.367417853,-0.245606812,-0.488989446,0.001054852,31.46339394,19.99178323,42.74570797,-0.339002183,-0.21540137,-0.46056342,0.001043841,29.16545874,18.22415616,41.0497155,-0.376265742,-0.235111188,-0.529585418,0.001037344,17.48330869,7.091737955,28.31940133,-0.284193448,-0.115277119,-0.460335537,0.001043841,4.321617038,-4.307288664,12.10956748,-0.102228065,0.101889127,-0.286452419,0.152637486
10,Himachal Pradesh,6.659584563,-17.50435616,29.0422382,-0.101593113,0.267031978,-0.443044362,0.281,41.77790444,27.74724486,54.84324028,-0.439027651,-0.291584939,-0.576326153,0.00104712,30.51543374,19.46481264,41.48873446,-0.430323625,-0.274489585,-0.585067306,0.001022495,20.4622079,9.517781958,30.70615889,-0.371585324,-0.172839027,-0.557611284,0.001022495,18.0375626,8.827180482,27.20718703,-0.410314738,-0.200798873,-0.618903456,0.001037344,2.506293341,-5.478079492,9.350933688,-0.105055731,0.229623418,-0.391960971,0.263748597
11,India,9.223892409,-13.26269534,29.45924205,-0.111559591,0.160407429,-0.356298712,0.189,38.15661015,24.47472348,51.23525862,-0.347844259,-0.223117096,-0.467072167,0.001054852,28.23160012,17.67907936,38.9099562,-0.3112291,-0.194896638,-0.428948787,0.001043841,24.97515209,15.16139005,35.25084317,-0.319068557,-0.193693429,-0.450345032,0.001043841,24.57175496,15.63016536,33.40603857,-0.368090625,-0.234143526,-0.500430256,0.001054852,-1.057352643,-8.780859206,6.459031211,0.024772079,0.205721467,-0.151324756,0.402466368
12,Jammu & Kashmir and Ladakh,8.609519928,-13.72628466,29.41659231,-0.101775381,0.162261992,-0.347741212,0.22,39.41783091,26.28407344,53.2981567,-0.346928623,-0.231334328,-0.469093699,0.001054852,28.90596514,18.59031219,38.54185512,-0.30718553,-0.19756043,-0.409586746,0.001043841,25.94359093,15.14906897,35.64445209,-0.318153602,-0.185777322,-0.437118009,0.001043841,24.16257036,14.5393492,32.88754717,-0.346480849,-0.208488003,-0.471593257,0.001054852,0.502355901,-7.953205345,7.772298712,-0.010783919,0.170728999,-0.166845532,0.455156951
13,Jharkhand,43.43712514,24.95827436,62.28383149,-0.404632147,-0.232495132,-0.580195866,0.001022495,38.51990035,23.67100883,53.712878,-0.399844282,-0.245709813,-0.557550433,0.001022495,36.59523421,23.62290064,50.22519543,-0.425135867,-0.274433067,-0.583478491,0.001009082,44.03698956,31.33451274,56.34194294,-0.55824104,-0.397216321,-0.714226497,0.001009082,13.54819645,2.182899806,23.90377358,-0.273100541,-0.044002249,-0.481845204,0.011247444,13.54819645,43.43712514,24.95827436,62.28383149,-0.404632147,-0.232495132,-0.580195866
14,Karnataka,10.02053847,-12.10473005,31.08323482,-0.116426142,0.140641845,-0.361148367,0.177777778,39.10712859,25.90365034,52.98351115,-0.349823386,-0.231714856,-0.473951219,0.001054852,32.35285953,21.96234124,42.74816939,-0.356589194,-0.242066194,-0.471165007,0.001043841,23.58806266,13.12282846,33.66357145,-0.319139721,-0.177548104,-0.455458464,0.001037344,20.50681101,10.14933357,29.58269418,-0.33824336,-0.167405097,-0.487942756,0.001054852,-11.28434245,-19.13534245,-3.327130699,0.30098862,0.510399284,0.088744956,0.003363229
15,Kerala,7.394939621,-10.49529041,24.34479954,-0.090687173,0.128708045,-0.298550247,0.207070707,35.25547968,24.51967908,46.46533657,-0.33934491,-0.236009504,-0.447243254,0.001054852,25.67549754,16.59123367,35.31567463,-0.308992183,-0.199667465,-0.425007047,0.001037344,22.56295304,13.72962548,31.1738146,-0.326234311,-0.198514569,-0.45073745,0.001037344,13.56100938,5.456862754,21.13584484,-0.247914493,-0.099759194,-0.386393232,0.001043841,-11.37500844,-18.00134691,-4.76405689,0.313124692,0.495530728,0.131142219,0.001121076
16,Madhya Pradesh,12.40861492,-17.15441269,41.36792676,-0.146760268,0.202890188,-0.489270404,0.195,47.01307805,30.62669714,63.12982125,-0.403151866,-0.262633519,-0.541357986,0.00104712,33.23683092,19.8179396,45.17715986,-0.357821406,-0.213356172,-0.486368719,0.001022495,26.89994546,14.56582964,38.75811458,-0.342181401,-0.185284985,-0.493023526,0.001037344,29.65223649,19.05416619,39.71590558,-0.438241758,-0.281608819,-0.586976577,0.001043841,3.296684114,-6.389265755,12.89874693,-0.08211056,0.159137537,-0.32126928,0.225336323
17,Maharashtra,17.76933478,-8.385772842,40.7932558,-0.177099181,0.083577327,-0.406568522,0.075757576,37.67285311,22.85787716,51.16879062,-0.316449535,-0.192004693,-0.429814539,0.001054852,25.27041674,14.56418488,35.65248192,-0.250242633,-0.144223184,-0.353051991,0.001043841,19.49987557,9.068201782,28.93461434,-0.213182183,-0.09913802,-0.316327365,0.002103049,23.44330814,14.67954627,32.17519244,-0.272551222,-0.17066398,-0.374067856,0.001122334,5.639706706,-1.702643626,12.73815129,-0.083444888,0.025192251,-0.188473206,0.067340067
18,Manipur,-30.93280751,-40.92852957,-21.13808977,1.668321059,2.207427431,1.140055596,0.001009082,25.89139516,14.78552377,37.21381466,-0.39745215,-0.226968774,-0.571259701,0.001009082,18.99946673,8.259351617,28.75331605,-0.306520299,-0.133248947,-0.463880127,0.001009082,38.69935124,29.13652611,47.68795205,-0.576243905,-0.433850828,-0.710086625,0.001009082,-4.265416193,-24.99101078,17.65616399,0.129303668,0.757588292,-0.535236579,0.328978622,-24.99101078,-30.93280751,-40.92852957,-21.13808977,1.668321059,2.207427431,1.140055596
19,Meghalaya,-37.61600024,-48.59849496,-26.59925791,1.802628398,2.328929886,1.274685702,0.001009082,31.30361176,19.02260755,44.07449123,-0.404669031,-0.245909649,-0.569761145,0.001022495,28.97568335,16.83332441,41.0786543,-0.397659032,-0.231018658,-0.563758849,0.001009082,39.21688343,27.05773798,49.51277306,-0.530969116,-0.366342808,-0.670368245,0.001009082,2.527123883,-19.41833757,26.4525617,-0.055329555,0.425150494,-0.579159757,0.434679335,-19.41833757,-37.61600024,-48.59849496,-26.59925791,1.802628398,2.328929886,1.274685702
20,Nagaland,-19.36441092,-25.93177755,-13.17451401,1.049914287,1.405988741,0.714305771,0.001009082,7.215499386,0.813409882,13.6494054,-0.146818423,-0.016550976,-0.277733261,0.015334064,0.813409882,-19.36441092,-25.93177755,-13.17451401,1.049914287,1.405988741,0.714305771,0.001009082,7.215499386,0.813409882,13.6494054,-0.146818423,-0.016550976,-0.277733261,0.015334064,0.714305771,-19.36441092,-25.93177755,-13.17451401,1.049914287,1.405988741,0.714305771,0.001009082,7.215499386,0.813409882,13.6494054,-0.146818423,-0.016550976
21,Odisha,10.84419478,-11.60675798,31.49961957,-0.137002758,0.146636785,-0.397958064,0.164646465,41.60930645,28.25048143,54.17793596,-0.394663546,-0.267955324,-0.513876778,0.001054852,30.41545369,19.98462481,40.43352535,-0.371043762,-0.243796145,-0.493256076,0.001043841,23.3109193,12.84058511,33.84876779,-0.349740721,-0.192651153,-0.507843225,0.001037344,15.29174338,6.155679495,24.32427682,-0.28363784,-0.114178194,-0.45117716,0.002109705,-7.678087462,-15.67677818,-0.525555675,0.205540554,0.419663579,0.014068999,0.013468013
22,Punjab,12.69210515,-12.55032145,36.36195221,-0.141509872,0.139929063,-0.405415424,0.159,42.38648968,28.33398139,56.41137456,-0.367417853,-0.245606812,-0.488989446,0.001054852,31.46339394,19.99178323,42.74570797,-0.339002183,-0.21540137,-0.46056342,0.001043841,29.16545874,18.22415616,41.0497155,-0.376265742,-0.235111188,-0.529585418,0.001037344,17.48330869,7.091737955,28.31940133,-0.284193448,-0.115277119,-0.460335537,0.001043841,4.321617038,-4.307288664,12.10956748,-0.102228065,0.101889127,-0.286452419,0.152637486
23,Rajasthan,9.885311746,-10.62937513,30.09862081,-0.123995876,0.133328996,-0.377540432,0.168,36.79497415,23.6230108,48.92469279,-0.353129293,-0.226715123,-0.469540815,0.001054852,26.51729467,16.4976509,36.32603232,-0.310718706,-0.193312659,-0.425653442,0.001043841,24.70128689,15.33417077,34.08006906,-0.335969107,-0.208564343,-0.463532545,0.001043841,25.39161352,16.05774066,34.2055814,-0.413254513,-0.261343525,-0.556703924,0.001054852,4.240584338,-3.748747877,11.59467109,-0.12105544,0.107015045,-0.330991652,0.130044843
24,Tamil Nadu,6.523741192,-16.40848768,28.69743686,-0.078829554,0.198271777,-0.346765156,0.296,43.3281427,28.12996532,57.52298831,-0.364094238,-0.236381198,-0.483376099,0.001044932,34.85328313,23.31818224,47.17519788,-0.35238803,-0.235761098,-0.476970131,0.001043841,30.57935944,19.14334758,42.04675502,-0.366410971,-0.229381279,-0.503816713,0.001043841,19.10917053,8.794538726,29.07333633,-0.275129934,-0.126621972,-0.418591958,0.001054852,2.249670431,-6.838326965,10.21403349,-0.041731064,0.126849985,-0.189468857,0.295173962
25,Telangana,10.97305343,-13.41756332,33.45332668,-0.12140515,0.148451048,-0.370125431,0.182828283,40.39805758,26.30235107,54.45508047,-0.339402115,-0.220977793,-0.45750144,0.001054852,31.65888282,19.8695982,42.64313424,-0.316368807,-0.198557893,-0.426134983,0.001043841,29.92503987,19.44774267,41.12289629,-0.346912182,-0.225451958,-0.476725637,0.001043841,25.6501226,15.71780288,35.2772256,-0.355854335,-0.21805932,-0.489414957,0.001054852,-1.745570407,-10.14985495,6.401939673,0.036960119,0.214909602,-0.135552509,0.347533632
26,Tripura,21.7464131,3.372563992,39.95646976,-0.257324439,-0.039907415,-0.472803313,0.011099899,42.81327042,28.37286578,57.32579093,-0.458533839,-0.303875853,-0.613964193,0.001022495,39.28554434,25.29596817,53.78948563,-0.483364751,-0.311238639,-0.661819551,0.001009082,36.91334259,22.95227155,49.34191627,-0.501358896,-0.311738919,-0.670164416,0.001009082,2.030529181,-24.05468842,28.74440858,-0.048357226,0.572864465,-0.684550553,0.469362745,-24.05468842,21.7464131,3.372563992,39.95646976,-0.257324439,-0.039907415,-0.472803313
27,Uttar Pradesh,8.52482926,-13.52340862,30.2424943,-0.104541887,0.165840583,-0.370870469,0.224,38.5051271,24.47730564,52.61839114,-0.347038048,-0.220608449,-0.474237722,0.001054852,29.79484326,19.59492268,40.08496709,-0.320239983,-0.210609522,-0.430839963,0.001043841,27.43937997,17.2475802,37.70158432,-0.341515229,-0.214666341,-0.469240384,0.001043841,28.13201205,18.27524517,37.31728944,-0.413128827,-0.268378621,-0.548017966,0.001054852,1.114962808,-7.384655235,8.966222203,-0.027328395,0.181002251,-0.219767389,0.409192825
28,Uttarakhand,10.81001153,-13.54657962,33.58802381,-0.134387158,0.168407437,-0.417557284,0.176,41.96151956,27.21596929,55.27032867,-0.389623072,-0.252706996,-0.513198652,0.001054852,33.13546826,21.2977837,44.39605875,-0.389000294,-0.250029487,-0.521196193,0.001037344,24.17713479,13.3449676,34.55065618,-0.353403516,-0.195066889,-0.505035997,0.001037344,18.652055,8.664643517,28.21144933,-0.335058364,-0.155648334,-0.506779658,0.001054852,3.164520556,-4.583974551,11.06507694,-0.089552973,0.129722194,-0.313131331,0.214365881
29,West Bengal,14.30511746,-13.98021893,39.21203702,-0.158449432,0.154850721,-0.434328836,0.142,40.62125312,25.1160242,55.44764778,-0.345010282,-0.213319037,-0.470935953,0.001054852,27.74442821,15.68082599,39.12456004,-0.276343864,-0.156186317,-0.389693816,0.001043841,25.09863527,14.12867965,36.85194542,-0.274037011,-0.154262616,-0.402364387,0.001043841,34.66553902,24.9719054,44.37222796,-0.407980415,-0.293895569,-0.522218909,0.001122334,5.311808374,-3.488138033,13.84776306,-0.093001275,0.061071722,-0.242452199,0.122197309
