,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
1,Andhra Pradesh,-0.338701522,-0.807679166,0.115186039,-0.22762971,-0.542813547,0.077412598,0.086781029,0.481433471,0.134163327,0.826588515,1.059611221,0.295286836,1.819280376,0.011099899,0.814444064,0.529588369,1.101464478,2.017111356,1.311617039,2.727966968,0.001009082,0.581236447,0.314688149,0.862256705,0.931492704,0.504320947,1.381857303,0.001009082,0.607159024,0.350364613,0.844973872,0.919297786,0.530486084,1.279372586,0.001009082,0.293197872,0.072450153,0.496561153,0.318420497,0.078682746,0.539278299,0.008121827
2,Arunachal Pradesh,-0.303342796,-0.66578556,0.049074486,-0.234161929,-0.513945389,0.037882476,0.047426842,1.055994093,0.75891809,1.353836184,0.698651486,0.502104372,0.895705448,0.001153403,-1.079819331,-1.390010537,-0.744797956,-0.415437505,-0.53477697,-0.286545161,0.001183432,-1.367304279,-1.706240416,-0.997799135,-0.535689812,-0.668480031,-0.390923102,0.001153403,-0.800773885,-1.130421952,-0.481615357,-0.413718754,-0.584030985,-0.248825928,0.001127396,-0.481615357,-0.303342796,-0.66578556,0.049074486,-0.234161929,-0.513945389,0.037882476
3,Assam,0.239723722,-0.205504667,0.670179448,0.403644607,-0.346026876,1.128442014,0.136226034,0.236168114,-0.043177864,0.524603675,0.175017952,-0.031997974,0.388769928,0.047426842,-0.213304174,-0.457339924,0.002788685,-0.09987096,-0.214130725,0.001305688,0.030683403,-1.328626523,-1.574975782,-1.09256385,-0.548942228,-0.650725167,-0.45140935,0.001342282,-0.925809551,-1.217610116,-0.63240364,-0.436426213,-0.57398087,-0.298114796,0.001153403,-0.182711697,-0.648508139,0.385961587,-0.139296982,-0.494414032,0.294252012,0.217712177
4,Bihar,-1.134781033,-1.850087269,-0.442087522,-0.444996214,-0.725498406,-0.17336144,0.002018163,-0.967503288,-1.33035039,-0.589960895,-0.435004815,-0.598146623,-0.26525577,0.001153403,-0.56689972,-0.917468069,-0.267981556,-0.324814436,-0.525678286,-0.153544401,0.002306805,-0.536493235,-0.842042483,-0.247266745,-0.349912269,-0.54919797,-0.161272617,0.001153403,-0.117899492,-0.387913602,0.119157484,-0.089004842,-0.292844253,0.089954526,0.16839677,-0.14944248,-0.344655499,0.042963793,-0.112845616,-0.260253056,0.03244242,0.069204152
5,Chhattisgarh,-1.457310646,-2.204578859,-0.771501353,-0.609414156,-0.921904722,-0.322624313,0.001009082,0.32658897,-0.021127322,0.699952082,0.32305962,-0.020899006,0.692387909,0.036326942,0.239335961,-0.039500268,0.528370614,0.160609782,-0.026507213,0.354570575,0.055363322,-0.635810081,-0.900155785,-0.368760891,-0.356645852,-0.504925663,-0.20684957,0.001153403,-0.511982647,-0.757560033,-0.278439671,-0.323201262,-0.478227847,-0.175771686,0.001153403,-0.125589645,-0.324533805,0.061556804,-0.098680422,-0.254998195,0.048367454,0.115340254
6,Delhi,-0.44772739,-0.579857455,-0.313033085,-0.277335485,-0.359180724,-0.193901879,0.001009082,0.619870685,0.436730035,0.803383629,1.077842243,0.759394002,1.396937834,0.001028807,0.417071495,0.274148156,0.56508954,0.529679741,0.348167464,0.717662284,0.001022495,0.359590884,0.209983261,0.508065422,0.417417666,0.243751236,0.589768795,0.00104712,0.120904058,-0.025462337,0.261649588,0.140492021,-0.029587552,0.304040078,0.040880503,0.295349905,0.088562466,0.547341262,0.447695341,0.134244173,0.829667215,0.006896552
7,Goa,-1.117150021,-1.747896784,-0.543339672,-0.819059637,-1.281503539,-0.398359743,0.001009082,3.589616542,3.2962475,3.885105463,9.314788599,8.5535177,10.08156042,0.001009082,-4.37866439,-5.567682209,-3.240667645,-0.858719756,-1.091903439,-0.635542047,0.001009082,-0.952890902,-2.202452544,0.207936192,-0.296670778,-0.685706315,0.064738357,0.065590313,-2.234544732,-3.408395052,-1.215449769,-0.661470302,-1.008953668,-0.359797642,0.001009082,-0.927438722,-1.806837288,-0.062745093,-0.444913571,-0.866781179,-0.030100256,0.018163471
8,Gujarat,-1.549528578,-2.259421956,-0.896631659,-0.503626359,-0.734355254,-0.2914224,0.001144165,-0.778930201,-1.160831674,-0.365554087,-0.419791211,-0.625610528,-0.197009171,0.001153403,-0.204043189,-0.547887755,0.116103306,-0.171226151,-0.459768895,0.097429973,0.100346021,0.042074638,-0.241804641,0.306966634,0.041228921,-0.236944274,0.300796486,0.382929642,0.114982398,-0.12737022,0.341108133,0.120597947,-0.13359077,0.357767288,0.153402537,0.069494779,-0.100220435,0.234110237,0.072744604,-0.104907103,0.245058074,0.221453287
10,Himachal Pradesh,-2.364269455,-3.277970049,-1.531269183,-0.775650416,-1.075409922,-0.502366418,0.001009082,1.099468865,0.603696437,1.57426514,1.757807341,0.96517697,2.516901484,0.001009082,-0.555602948,-0.924558097,-0.178657103,-0.308160633,-0.512798591,-0.099090702,0.001153403,-0.614431466,-0.973222522,-0.260271208,-0.382469507,-0.605808718,-0.162012863,0.002306805,-0.295076326,-0.619812987,0.019116039,-0.214510116,-0.450582254,0.013896688,0.038062284,-0.015863052,-0.280953703,0.236425325,-0.01345321,-0.238272509,0.200508677,0.456747405
11,India,-0.13939515,-0.224300413,-0.055822625,-0.102296123,-0.164604454,-0.040965831,0.002012072,0.363464232,0.268225396,0.461668064,0.440240131,0.324883642,0.559187922,0.001010101,0.209339399,0.115991972,0.301642174,0.22668791,0.125604535,0.326640061,0.001070664,0.195095773,0.109366444,0.278371609,0.212621054,0.119190736,0.303377485,0.001070664,0.175372873,0.044605489,0.299290012,0.184965167,0.047045256,0.315660148,0.003448276,0.066354089,-0.049565999,0.203187797,0.064925739,-0.048499032,0.198813938,0.149623251
